ダウンロードした時刻：2026/02/28 23:58:28

,白石,白石,白石,白石,白石,白石,白石,白石,白石
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/4/6,6.2,8,1,10.7,8,1,0.6,8,1
1990/4/7,11.3,8,1,18.1,8,1,2.4,8,1
1990/4/8,10.8,8,1,17.1,8,1,6.4,8,1
1990/4/9,12.6,8,1,16.5,8,1,7.0,8,1
1990/4/10,14.9,8,1,21.0,8,1,6.7,8,1
1990/4/11,11.4,8,1,21.5,8,1,2.0,8,1
1990/4/12,13.5,8,1,22.4,8,1,3.9,8,1
1990/4/13,12.2,8,1,17.2,8,1,8.9,8,1
1990/4/14,9.4,8,1,11.0,8,1,8.4,8,1
1990/4/15,7.3,8,1,8.9,8,1,4.9,8,1
1990/4/16,4.5,8,1,5.8,8,1,3.5,8,1
1990/4/17,4.5,8,1,5.5,8,1,3.2,8,1
1990/4/18,4.6,8,1,5.9,8,1,2.7,8,1
1990/4/19,6.4,8,1,13.5,8,1,-0.2,8,1
1990/4/20,8.1,8,1,15.8,8,1,0.6,8,1
1990/4/21,8.8,8,1,9.8,8,1,7.4,8,1
1990/4/22,11.4,8,1,12.6,8,1,9.5,8,1
1990/4/23,14.3,8,1,18.6,8,1,11.4,8,1
1990/4/24,10.8,8,1,15.1,8,1,6.6,8,1
1990/4/25,10.7,8,1,17.0,8,1,4.1,8,1
1990/4/26,12.3,8,1,17.6,8,1,6.2,8,1
1990/4/27,12.4,8,1,17.4,8,1,8.9,8,1
1990/4/28,13.7,8,1,19.8,8,1,8.1,8,1
1990/4/29,12.2,8,1,15.3,8,1,9.0,8,1
1990/4/30,11.7,8,1,15.3,8,1,9.0,8,1
1990/5/1,11.9,8,1,17.6,8,1,6.4,8,1
1990/5/2,8.7,8,1,10.9,8,1,6.4,8,1
1990/5/3,11.2,8,1,14.4,8,1,7.7,8,1
1990/5/4,12.9,8,1,17.1,8,1,10.1,8,1
1990/5/5,15.5,8,1,17.5,8,1,11.4,8,1
1990/5/6,14.4,8,1,21.1,8,1,7.8,8,1
1990/5/7,14.6,8,1,20.1,8,1,9.0,8,1
1990/5/8,16.0,8,1,21.3,8,1,13.1,8,1
1990/5/9,17.9,8,1,22.6,8,1,12.0,8,1
1990/5/10,19.9,8,1,29.0,8,1,11.5,8,1
1990/5/11,19.4,8,1,24.7,8,1,13.8,8,1
1990/5/12,20.9,8,1,26.4,8,1,16.6,8,1
1990/5/13,19.4,8,1,24.8,8,1,14.6,8,1
1990/5/14,17.9,8,1,23.9,8,1,14.8,8,1
1990/5/15,15.2,8,1,18.4,8,1,12.0,8,1
1990/5/16,12.9,8,1,16.1,8,1,11.0,8,1
1990/5/17,16.5,8,1,23.1,8,1,9.1,8,1
1990/5/18,15.9,8,1,21.1,8,1,9.5,8,1
1990/5/19,16.1,8,1,17.8,8,1,14.3,8,1
1990/5/20,18.7,8,1,23.9,8,1,14.9,8,1
1990/5/21,18.1,8,1,22.1,8,1,12.9,8,1
1990/5/22,15.9,8,1,20.0,8,1,10.4,8,1
1990/5/23,14.7,8,1,16.5,8,1,12.0,8,1
1990/5/24,13.3,8,1,17.3,8,1,8.6,8,1
1990/5/25,14.4,8,1,21.1,8,1,6.6,8,1
1990/5/26,17.3,8,1,25.0,8,1,10.6,8,1
1990/5/27,19.2,8,1,27.3,8,1,10.1,8,1
1990/5/28,19.4,8,1,26.9,8,1,13.6,8,1
1990/5/29,18.6,8,1,25.3,8,1,13.2,8,1
1990/5/30,17.5,5,1,25.8,4,1,11.6,4,1
1990/5/31,19.6,8,1,27.7,8,1,14.1,8,1
1990/6/1,19.5,8,1,25.1,8,1,14.6,8,1
1990/6/2,19.7,8,1,23.2,8,1,17.1,8,1
1990/6/3,21.7,8,1,26.9,8,1,16.6,8,1
1990/6/4,22.4,8,1,29.1,8,1,15.1,8,1
1990/6/5,18.1,8,1,22.4,8,1,14.9,8,1
1990/6/6,17.5,8,1,23.5,8,1,14.1,8,1
1990/6/7,18.5,8,1,24.6,8,1,14.4,8,1
1990/6/8,20.4,8,1,25.1,8,1,16.8,8,1
1990/6/9,18.6,8,1,21.7,8,1,16.1,8,1
1990/6/10,23.7,8,1,28.3,8,1,20.2,8,1
1990/6/11,24.0,8,1,29.8,8,1,19.3,8,1
1990/6/12,23.3,8,1,28.9,8,1,18.6,8,1
1990/6/13,22.2,8,1,28.1,8,1,18.6,8,1
1990/6/14,20.4,8,1,25.1,8,1,16.3,8,1
1990/6/15,19.4,8,1,22.5,8,1,18.1,8,1
1990/6/16,22.2,8,1,25.2,8,1,18.2,8,1
1990/6/17,21.6,8,1,24.8,8,1,18.7,8,1
1990/6/18,21.9,8,1,27.8,8,1,16.0,8,1
1990/6/19,22.4,8,1,26.6,8,1,18.4,8,1
1990/6/20,23.6,8,1,28.0,8,1,20.1,8,1
1990/6/21,21.0,8,1,25.0,8,1,18.8,8,1
1990/6/22,24.5,8,1,28.6,8,1,18.9,8,1
1990/6/23,21.3,8,1,27.5,8,1,16.5,8,1
1990/6/24,22.8,8,1,28.4,8,1,17.8,8,1
1990/6/25,23.6,8,1,25.3,8,1,21.4,8,1
1990/6/26,19.5,8,1,23.1,8,1,16.8,8,1
1990/6/27,15.5,8,1,16.9,8,1,13.7,8,1
1990/6/28,14.3,8,1,15.6,8,1,13.4,8,1
1990/6/29,14.8,8,1,16.8,8,1,12.9,8,1
1990/6/30,15.1,8,1,16.5,8,1,14.2,8,1
1990/7/1,16.4,8,1,19.2,8,1,14.3,8,1
1990/7/2,18.4,8,1,22.0,8,1,13.8,8,1
